"http://www.imfdb.org/wiki/Death_and_Life_of_Bobby_Z,_The", Death and Life of Bobby Z, The,,
http://www.imfdb.org/wiki/Death_Before_Dishonor, Death Before Dishonor,,,
http://www.imfdb.org/wiki/Death_Hunt, Death Hunt,,,
http://www.imfdb.org/wiki/Death_Machine, Death Machine,,,
http://www.imfdb.org/wiki/Death_Proof, Death Proof,,,
http://www.imfdb.org/wiki/Death_Race, Death Race,,,
http://www.imfdb.org/wiki/Death_Race_2, Death Race 2,,,
http://www.imfdb.org/wiki/Death_Race_3:_Inferno, Death Race 3: Inferno,,,
http://www.imfdb.org/wiki/Death_Warrant, Death Warrant,,,
http://www.imfdb.org/wiki/Death_Wish_(disambiguation), Death Wish (disambiguation),,,
http://www.imfdb.org/wiki/Death_Wish_3, Death Wish 3,,,
http://www.imfdb.org/wiki/Death_Wish_4:_The_Crackdown, Death Wish 4: The Crackdown,,,
http://www.imfdb.org/wiki/Death_Wish_V:_The_Face_of_Death, Death Wish V: The Face of Death,,,
http://www.imfdb.org/wiki/Deathcheaters, Deathcheaters,,,
http://www.imfdb.org/wiki/Decisions, Decisions,,,
http://www.imfdb.org/wiki/Deep_Rising, Deep Rising,,,
http://www.imfdb.org/wiki/Defiance_(2008), Defiance (2008),,,
http://www.imfdb.org/wiki/Delta_Force_2:_The_Colombian_Connection, Delta Force 2: The Colombian Connection,,,
http://www.imfdb.org/wiki/Delta_Force_3:_The_Killing_Game, Delta Force 3: The Killing Game,,,
"http://www.imfdb.org/wiki/Delta_Force,_The", Delta Force, The,,
"http://www.imfdb.org/wiki/Democratic_Terrorist,_The", Democratic Terrorist, The,,
http://www.imfdb.org/wiki/Demolition_High, Demolition High,,,
http://www.imfdb.org/wiki/Demolition_Man, Demolition Man,,,
http://www.imfdb.org/wiki/Demons_of_War, Demons of War,,,
http://www.imfdb.org/wiki/Derailed_(2002), Derailed (2002),,,
http://www.imfdb.org/wiki/Desert_Heat, Desert Heat,,,
http://www.imfdb.org/wiki/Deserter_(Dezertir), Deserter (Dezertir),,,
http://www.imfdb.org/wiki/Desperado, Desperado,,,
http://www.imfdb.org/wiki/Destination_Vegas, Destination Vegas,,,
"http://www.imfdb.org/wiki/Detached_Mission,_The", Detached Mission, The,,
"http://www.imfdb.org/wiki/Detective_(Syshchik),_The", Detective (Syshchik), The,,
http://www.imfdb.org/wiki/Detention, Detention,,,
http://www.imfdb.org/wiki/Detonator_II:_Night_Watch, Detonator II: Night Watch,,,
"http://www.imfdb.org/wiki/Detonator,_The", Detonator, The,,
http://www.imfdb.org/wiki/Devil%27s_Den, Devil's Den,,,
http://www.imfdb.org/wiki/Dhoom, Dhoom,,,
http://www.imfdb.org/wiki/Dhoom_2, Dhoom 2,,,
http://www.imfdb.org/wiki/Dhoom_3, Dhoom 3,,,
http://www.imfdb.org/wiki/Diamant_13, Diamant 13,,,
http://www.imfdb.org/wiki/Diamond_Rush_(Le_Paria), Diamond Rush (Le Paria),,,
http://www.imfdb.org/wiki/Die_Hard, Die Hard,,,
